Run Summary,Total Loads Of Ore:,1489,Station Count,2,Mining Truck Count,100
Truck Efficiency,62,Station Efficiency,86
,Mining Truck,,,,,,Unloading Station
Slice Count,MINING,TRAVELING_TO_STATION,IDLE,UNLOADING,TRAVELING_TO_MINE,BUSY,IDLE
431,68,12,2,4,14,2,0
432,68,12,2,4,14,2,0
433,67,14,2,3,14,1,1
434,68,14,1,3,14,2,0
435,68,16,1,2,13,0,2
436,67,17,1,2,13,2,0
437,67,18,1,3,11,1,1
438,66,16,4,3,11,2,0
439,64,18,4,4,10,2,0
440,66,15,5,4,10,2,0
441,65,17,5,3,10,1,1
442,62,19,5,3,11,2,0
443,60,20,6,4,10,2,0
444,59,19,6,4,12,2,0
445,59,18,7,4,12,2,0
446,56,18,9,4,13,2,0
447,56,20,7,4,13,2,0
448,54,21,8,4,13,2,0
449,55,18,10,4,13,2,0
450,55,15,12,4,14,2,0
451,55,16,11,4,14,2,0
452,56,15,11,4,14,2,0
453,56,13,13,4,14,2,0
454,55,14,13,4,14,2,0
455,57,10,15,4,14,2,0
456,57,11,14,4,14,2,0
457,59,10,13,4,14,2,0
458,60,9,13,4,14,2,0
459,61,9,12,4,14,2,0
460,62,8,12,4,14,2,0
461,62,7,13,4,14,2,0
462,62,9,11,4,14,2,0
463,63,8,11,4,14,2,0
464,62,11,9,4,14,2,0
465,63,11,8,4,14,2,0
466,64,11,7,4,14,2,0
467,65,11,6,4,14,2,0
468,64,12,6,4,14,2,0
469,63,13,6,4,14,2,0
470,63,14,5,4,14,2,0
471,63,13,6,4,14,2,0
472,65,12,5,4,14,2,0
473,65,13,4,4,14,2,0
474,65,14,3,4,14,2,0
475,65,13,4,4,14,2,0
476,66,11,5,4,14,2,0
477,65,12,5,4,14,2,0
478,65,12,5,4,14,2,0
479,64,15,3,4,14,2,0
480,63,16,3,4,14,2,0
481,64,15,3,4,14,2,0
482,65,14,3,4,14,2,0
483,66,14,2,4,14,2,0
484,67,12,3,4,14,2,0
485,66,13,3,4,14,2,0
486,67,11,4,4,14,2,0
487,68,9,5,4,14,2,0
488,67,11,4,4,14,2,0
489,68,11,3,4,14,2,0
490,69,11,2,4,14,2,0
491,70,11,2,3,14,1,1
492,71,9,3,3,14,2,0
493,72,9,3,3,13,1,1
494,71,11,2,3,13,2,0
495,70,11,3,4,12,2,0
496,68,14,2,4,12,2,0
497,70,13,1,4,12,2,0
498,71,13,0,4,12,2,0
499,72,13,0,3,12,1,1
500,71,14,0,2,13,1,1
501,71,13,1,3,12,2,0
502,69,13,2,4,12,2,0
503,70,10,4,4,12,2,0
504,70,12,3,3,12,1,1
505,70,13,2,3,12,2,0
506,71,13,2,3,11,1,1
507,72,12,2,3,11,2,0
508,72,11,2,4,11,2,0
509,71,10,3,4,12,2,0
510,72,10,3,3,12,1,1
511,73,9,3,3,12,2,0
512,75,7,3,4,11,2,0
513,74,8,2,4,12,2,0
514,74,9,2,3,12,1,1
515,75,8,1,3,13,2,0
516,76,7,1,4,12,2,0
517,76,8,0,4,12,2,0
518,75,10,0,3,12,1,1
519,72,14,0,1,13,0,2
520,72,14,0,2,12,2,0
521,69,17,0,4,10,2,0
522,67,21,0,2,10,0,2
523,67,21,0,1,11,1,1
524,67,21,0,3,9,2,0
525,69,18,1,4,8,2,0
526,69,16,3,4,8,2,0
527,68,16,3,4,9,2,0
528,67,12,6,4,11,2,0
529,67,10,8,4,11,2,0
530,68,10,7,4,11,2,0
531,67,9,7,4,13,2,0
532,64,13,5,4,14,2,0
533,64,13,5,4,14,2,0
534,61,16,5,4,14,2,0
535,62,16,4,4,14,2,0
536,60,18,4,4,14,2,0
537,58,21,3,4,14,2,0
538,58,22,2,4,14,2,0
539,58,20,4,4,14,2,0
540,58,20,4,4,14,2,0
541,58,17,7,4,14,2,0
542,58,18,6,4,14,2,0
543,59,15,8,4,14,2,0
544,61,11,10,4,14,2,0
545,62,10,10,4,14,2,0
546,64,8,10,4,14,2,0
547,62,10,10,4,14,2,0
548,64,8,10,4,14,2,0
549,66,6,10,4,14,2,0
550,67,6,9,4,14,2,0
551,67,8,7,4,14,2,0
552,64,12,6,4,14,2,0
553,65,13,4,4,14,2,0
554,64,12,6,4,14,2,0
555,65,13,4,4,14,2,0
556,66,14,2,4,14,2,0
557,68,13,1,4,14,2,0
558,70,11,1,4,14,2,0
559,70,8,4,4,14,2,0
560,71,8,4,3,14,1,1
561,71,7,5,3,14,2,0
562,72,7,5,3,13,1,1
563,72,8,4,3,13,2,0
564,74,8,4,2,12,0,2
565,76,8,2,2,12,2,0
566,76,8,2,4,10,2,0
567,75,10,1,4,10,2,0
568,76,9,1,4,10,2,0
569,74,11,0,4,11,2,0
570,72,13,0,4,11,2,0
571,73,13,0,2,12,0,2
572,71,17,0,0,12,0,2
573,71,15,0,2,12,2,0
574,71,14,1,4,10,2,0
575,72,14,1,3,10,1,1
576,71,14,2,3,10,2,0
577,69,14,4,4,9,2,0
578,68,17,2,4,9,2,0
579,70,13,4,4,9,2,0
580,69,14,4,2,11,0,2
581,68,13,4,2,13,2,0
582,68,14,4,3,11,1,1
583,66,15,5,3,11,2,0
584,66,12,7,4,11,2,0
585,65,12,8,4,11,2,0
586,67,12,6,4,11,2,0
587,66,14,5,4,11,2,0
588,67,14,5,3,11,1,1
589,67,12,5,3,13,2,0
590,69,8,7,4,12,2,0
591,67,10,6,4,13,2,0
592,69,7,7,4,13,2,0
593,68,10,5,4,13,2,0
594,69,8,6,4,13,2,0
595,67,11,5,4,13,2,0
596,66,14,3,4,13,2,0
597,65,16,2,3,14,1,1
598,65,15,3,3,14,2,0
599,63,19,3,2,13,0,2
600,64,17,4,2,13,2,0
601,65,17,4,3,11,1,1
602,66,14,6,3,11,2,0
603,63,16,7,4,10,2,0
604,63,16,7,4,10,2,0
605,65,14,7,4,10,2,0
606,66,10,9,4,11,2,0
607,67,10,8,4,11,2,0
608,67,9,7,4,13,2,0
609,67,10,7,3,13,1,1
610,66,7,10,3,14,2,0
611,66,7,10,4,13,2,0
612,67,8,8,4,13,2,0
613,66,11,8,2,13,0,2
614,67,11,7,2,13,2,0
615,67,13,7,2,11,0,2
616,64,16,7,2,11,2,0
617,64,16,7,4,9,2,0
618,65,14,7,4,10,2,0
619,64,16,7,3,10,1,1
620,66,13,8,3,10,2,0
621,66,14,8,3,9,1,1
622,64,14,8,3,11,2,0
623,64,11,11,4,10,2,0
624,60,13,11,4,12,2,0
625,61,14,9,4,12,2,0
626,59,15,10,4,12,2,0
627,59,17,9,3,12,1,1
628,59,16,9,3,13,2,0
629,60,15,9,4,12,2,0
630,58,16,9,4,13,2,0
631,60,12,11,4,13,2,0
632,58,15,10,4,13,2,0
633,58,13,12,4,13,2,0
634,60,11,12,4,13,2,0
635,62,10,11,4,13,2,0
636,62,10,10,4,14,2,0
637,61,10,11,4,14,2,0
638,62,11,9,4,14,2,0
639,64,7,11,4,14,2,0
640,63,8,11,4,14,2,0
641,64,9,9,4,14,2,0
642,63,12,7,4,14,2,0
643,63,13,6,4,14,2,0
644,62,13,7,4,14,2,0
645,64,12,6,4,14,2,0
646,64,14,4,4,14,2,0
647,66,11,5,4,14,2,0
648,66,12,4,4,14,2,0
649,67,10,5,4,14,2,0
650,67,10,5,4,14,2,0
651,68,8,6,4,14,2,0
652,68,10,5,3,14,1,1
653,68,10,5,3,14,2,0
654,69,11,5,2,13,0,2
655,70,10,5,2,13,2,0
656,70,11,5,3,11,1,1
657,69,12,5,3,11,2,0
658,67,15,5,3,10,1,1
659,68,14,5,3,10,2,0
660,70,12,5,4,9,2,0
661,68,14,4,4,10,2,0
662,70,13,4,3,10,1,1
663,68,13,4,3,12,2,0
664,69,11,5,4,11,2,0
665,67,10,7,4,12,2,0
666,66,12,6,4,12,2,0
667,64,15,4,4,13,2,0
668,64,14,5,4,13,2,0
669,64,16,3,4,13,2,0
670,64,16,3,4,13,2,0
671,64,16,2,4,14,2,0
672,64,15,3,4,14,2,0
673,64,14,4,4,14,2,0
674,65,12,5,4,14,2,0
675,66,11,5,4,14,2,0
676,67,10,5,4,14,2,0
677,67,10,5,4,14,2,0
678,68,10,4,4,14,2,0
679,68,10,4,4,14,2,0
680,68,10,4,4,14,2,0
681,69,10,3,4,14,2,0
682,68,12,2,4,14,2,0
683,67,14,1,4,14,2,0
684,64,17,1,4,14,2,0
685,65,17,1,3,14,1,1
686,64,18,1,3,14,2,0
687,63,19,1,4,13,2,0
688,64,19,0,4,13,2,0
689,65,17,1,4,13,2,0
690,67,14,2,4,13,2,0
691,67,11,5,4,13,2,0
692,67,12,4,4,13,2,0
693,64,14,5,4,13,2,0
694,64,12,6,4,14,2,0
695,62,15,5,4,14,2,0
696,62,16,4,4,14,2,0
697,63,17,2,4,14,2,0
698,64,16,2,4,14,2,0
699,65,15,2,4,14,2,0
700,65,12,5,4,14,2,0
701,63,15,4,4,14,2,0
702,62,14,6,4,14,2,0
703,63,13,6,4,14,2,0
704,63,14,5,4,14,2,0
705,64,14,4,4,14,2,0
706,65,14,3,4,14,2,0
707,66,13,3,4,14,2,0
708,67,10,5,4,14,2,0
709,68,8,6,4,14,2,0
710,65,12,5,4,14,2,0
711,65,12,5,4,14,2,0
712,66,12,4,4,14,2,0
713,68,11,3,4,14,2,0
714,69,11,2,4,14,2,0
715,71,10,2,3,14,1,1
716,73,9,1,3,14,2,0
717,75,4,4,4,13,2,0
718,76,3,4,4,13,2,0
719,78,2,3,4,13,2,0
720,79,3,2,3,13,1,1
721,77,6,1,3,13,2,0
722,77,8,1,2,12,0,2
723,78,9,0,1,12,1,1
724,77,11,0,1,11,0,2
725,77,12,0,1,10,1,1
726,76,15,0,1,8,0,2
727,75,17,0,1,7,1,1
728,76,14,2,3,5,2,0
729,73,16,2,4,5,2,0
